Unnamed: 0,r_id,recipe,Calories.kcal.,Moisture.g.,Protein.g.,Crude_fat.g.,Saturated_fat.g.,Ash.g.,Carbohydrate.g.,Dietary_fiber.g.,Na.mg.,K.mg.,Ca.mg.,Mg.mg.,Fe.mg.,Zn.mg.,P.mg.,VitaminA.IU.,VitaminE.mg.,VitaminB_group,VitaminC.mg.,Fatty_acid_S.mg.,Fatty_acid_M.mg.,Fatty_acid_P.mg.,Amino_acid.mg.,Cholesterol.mg.,Cluster
26460,10010093,玉米竹笙燉雞腳湯,87.6961,78.8377,8.4505,2.4038,0.5343,2.1785,8.1295,2.8949,317.3706,619.128,18.7224,20.3565,1.4114,1.1573,76.4251,6250.0965,0.301,54.4515,5.7512,534.3042,1093.3565,575.6366,6468.4613,65.5938,6
26461,10010098,玉米炒肉,180.4249,71.4717,7.4627,13.6906,5.2563,0.7394,6.6356,1.7025,42.5303,240.8208,10.5741,18.2583,0.5274,0.9907,89.5903,5395.8502,0.3221,10.6753,6.88,5256.3268,6060.2556,2153.6056,6061.9272,28.2431,6
26462,10010099,玉米炒肉末 紅蘿蔔,82.1245,82.1343,5.4789,3.1665,1.0685,1.6556,7.8749,2.4221,259.0996,478.0358,22.3024,21.583000000000002,0.6692,0.9494,93.8499,7776.3791,0.3052,14.7856,7.0689,1068.4945,1262.4338,558.3063,3233.6902,12.2439,6
26463,10010100,玉米炒紅蘿蔔美味便當菜,83.7739,82.6734,1.6535,4.8533,0.7507,1.9035,8.9175,2.6839999999999997,304.1283,542.0997,21.1454,15.929,0.4355,0.3495,47.1685,12101.0256,1.2461,12.5273,18.7059,750.7454,3406.1524,443.5264,0.0,0.0,6
26464,10010105,玉米炒蛋,77.7275,81.9121,3.8557,2.3681,0.7348,1.2457,10.6185,2.4996,227.1651,321.1702,25.7585,14.7591,0.7982,0.5697,73.7422,7295.2952,0.696,32.4483,4.7167,734.8031,958.0179,649.5572,3441.0244,75.32300000000001,6
26465,10010109,玉米炒雞肉,92.9185,78.6998,3.4965,2.116,0.5102,0.6619,15.2025,2.588,46.0615,235.5554,23.4972,16.9438,0.5665,0.4771,62.7698,9235.6539,0.3309,17.52,8.1569,510.2282,775.5183,635.1489,1764.4034,6.8901,6
26466,10010113,玉米紅蘿蔔炒蛋美味便當菜料理,127.9609,77.6137,3.2386,9.6825,1.7816,1.7994,7.6679,2.2692,292.5907,489.6028,24.7769,15.1294,0.6405,0.4865,67.5504,10775.6555,1.9469,21.0792,5.5795,1781.6147,6660.1574,1049.8281,1870.3143,56.2049,6
26467,10010114,玉米胡蘿蔔排骨湯,122.3534,75.9128,9.8873,6.7985,2.7211,1.2328,6.1726,1.2038,264.4479,170.2907,28.778000000000002,24.2872,0.4828,1.1503,112.7423,4466.9979,0.8534,13.6327,2.4805,2721.1139,2965.4692,913.5613,8758.693000000001,119.9122,6
26468,10010138,玉米排骨湯,172.2712,70.5854,10.3635,11.9731,4.8677,1.8249,5.2604,1.5845,295.8257,420.7847,30.8781,20.0981,1.1919,1.4113,107.126,6658.4211,0.3007,13.0687,3.6836,4867.6664,5304.6205,1636.8199,8301.5157,39.4672,6
26469,10010159,玉米筍泥南瓜泥茭白筍泥紅白蘿蔔泥,34.5119,90.4796,1.0132,0.1457,0.0262,0.5057,7.8559,1.8048,43.5367,210.7777,21.4037,10.9578,0.2784,0.2619,27.2277,5372.5084,0.3521,28.5503,11.73,26.1815,19.7479,21.3229,369.6522,0.0,6
26470,10010173,玉米瘦肉燕麥粥,129.0481,71.7966,5.7861,4.078,0.8937,1.2254,17.349,2.5901,91.8154,231.3268,22.95,29.9265,0.7504,0.8849,76.3404,5891.4996,0.4354,30.4432,8.6062,893.7075,1072.4915,599.8471,4916.7595,9.281,6
26471,10010185,玉米濃湯,86.1761,80.0048,3.7769,1.9358,0.6051,0.79,13.4924,1.6725,128.7632,176.2515,16.0243,14.5407,0.8344,0.6297,67.9098,4696.8883,0.488,26.9656,7.5007,605.095,791.9552,422.8483,2718.7992,72.3507,6
26472,10010190,玉米濃湯,241.3303,49.5821,10.6312,9.824,6.5617,2.0878,27.8749,1.4815,124.5343,464.7962,289.6806,41.0894,0.4315,1.1907,246.1521,3683.118,0.4279,17.8252,10.7954,6561.653,2694.2389,400.0174,10376.31,29.4621,6
26473,10010239,甘藍日式煎蛋捲 淬釀節氣食譜,121.3002,78.8198,7.0166,8.2575,2.9464,0.8714,5.0349,1.1445,166.0797,185.7062,30.4303,12.4315,0.9362,0.8114,97.3855,8280.6653,1.2796,33.0675,6.2481,2946.4320000000002,3572.0403,1685.4702,6425.7902,137.6655,6
