Unnamed: 0,r_id,recipe,Calories.kcal.,Moisture.g.,Protein.g.,Crude_fat.g.,Saturated_fat.g.,Ash.g.,Carbohydrate.g.,Dietary_fiber.g.,Na.mg.,K.mg.,Ca.mg.,Mg.mg.,Fe.mg.,Zn.mg.,P.mg.,VitaminA.IU.,VitaminE.mg.,VitaminB_group,VitaminC.mg.,Fatty_acid_S.mg.,Fatty_acid_M.mg.,Fatty_acid_P.mg.,Amino_acid.mg.,Cholesterol.mg.,Cluster
43696,10041415,紫菜豆腐蛋花湯食譜(素),32.1685,10.387,3.2158,0.8683,0.3037,1.1434,3.6589,1.979,130.804,282.815,34.0225,27.0554,4.0327,0.3876,51.3623,59.3394,0.4136,30.5717,0.0445,303.7436,298.6444,264.0528,3025.3548,27.7527,7
43697,10041416,蜜桃鴨胸,122.1361,76.5058,8.0978,7.9111,2.0554,0.7102,6.7752,0.9049,18.6376,241.8059,9.7376,14.7424,1.5516,0.7333,93.0412,227.148,0.5391,15.8077,3.9149,2055.3701,3880.0037,1913.0872,7020.0526,43.5973,7
43698,10041417,三杯豆包,114.9636,77.973,5.5418,6.8314,1.0866,0.9417,8.7151,3.3139999999999996,76.8342,246.2783,54.0394,24.2356,1.0037,1.2415,124.8464,353.6655,4.3716,41.0763,0.7336,1086.6313,1755.5927,3888.8579,5109.4804,0.0,7
43699,10041419,免烤乳酪蛋糕,164.8432,67.3834,4.297,10.3594,7.1054,1.1114,14.6223,0.1709,200.6115,150.9962,139.7966,12.625,0.2488,0.6196,104.6793,352.9178,0.4781,11.9043,6.0434,7105.4014,2751.7645,422.1631,4585.8143,34.0842,7
43700,10041426,草莓煉奶盒,68.1776,82.4694,1.5459,1.0089,0.4631,0.6222,14.3537,1.5499,13.9621,218.7403,45.9856,12.0717,0.2772,0.272,42.3115,97.0112,0.8640000000000001,29.3365,34.2379,463.1022,252.7836,257.779,810.9616,2.3523,7
43701,10041429,富貴有芋,89.1268,31.2098,5.3985,6.1669,1.8069,0.7382,2.415,0.1877,105.1763,233.9628,7.7867,9.3564,0.7344,0.9189,61.3584,52.4438,1.155,6.6598,1.7965,1806.9098,2955.0139,1321.5313,5343.3124,34.6064,7
43702,10041430,港式泡菜,52.4354,75.4965,0.5416,0.0982,0.0085,1.6353,12.9347,1.0688,290.9951,467.964,21.6336,7.8349,0.2055,0.1639,16.6555,3673.5487,0.0921,10.9323,7.9777,8.4522,6.6883,21.0713,0.0,0.0,7
43703,10041436,芫茜蕃茄野箘湯食譜(素),73.0589,86.648,1.5483,5.7513,0.9836,1.4289,4.6341,1.2805,167.3444,446.5583,13.6187,13.3383,0.8797,0.4525,41.0836,1269.8734,3.9383,8.6571,9.9944,983.6095,2207.2479,2549.0615,741.4368,0.0,7
43704,10041442,自家製反沙芋,153.595,55.172,2.0,0.88,0.0,0.8809999999999999,34.4004,1.848,4.2227,400.0419,22.6013,23.2,0.72,1.768,51.2,53.3312,0.0,11.5859,7.04,0.0,0.0,0.0,0.0,0.0,7
43705,10041445,冰糖燉秋梨,107.1761,70.7481,0.9795,0.2051,0.0696,0.4731,27.5942,2.7819,23.0565,195.3619,13.7476,10.8954,0.4626,0.2017,20.7252,21.423000000000002,0.3395,10.9095,3.7775,69.6159,45.597,64.9616,540.8827,0.0,7
